text,label
"Hi team, please find attached the meeting notes and action items from our weekly engineering sync. Next review is scheduled for Thursday at 10 AM.",0
"URGENT: Executive Wire Transfer Authorization required immediately. Statutory allocation directive applies. Do not delay batch settlement.",1
"Your monthly AWS cloud billing invoice for account 9823-1120 is now available in your management console. Total amount charged: $142.50.",0
"CRITICAL ALERT: Your Microsoft 365 session has expired. Click here immediately to re-authenticate and avoid immediate directory account deactivation.",1
"Reminder: Quarterly town hall with the executive leadership team will take place tomorrow at 3 PM in the main auditorium and on Zoom.",0
"Immediate payment remittance overdue. Open the attached Wire_Remittance_Directive.pdf.exe to confirm SWIFT bank coordinates before cutoff today.",1
"Thanks for submitting pull request #412. I have reviewed the code changes and left a few minor comments regarding error handling in the API layer.",0
"Attention: State Treasury banking portal upgrade requires instant credential recertification. Follow secure-login-okta.me/verify to update token.",1
"Here is the finalized agenda for the upcoming cybersecurity seminar in Bangalore. Please let us know if you need hotel accommodation assistance.",0
"FINAL NOTICE: Your mailbox quota has exceeded 99%. All incoming mail will be purged within 2 hours unless you confirm credentials at http://portal-update.cc",1
"The requested financial audit report for Q2 fiscal year has been compiled by the external accounting team and uploaded to the secure internal SharePoint.",0
"DocuSign Notification: CEO has sent you an urgent wire authorization agreement to sign. Review document at http://docusign-authorization-corp.online",1
"Hi everyone, the office cafeteria will be undergoing routine maintenance this Friday afternoon. Coffee and snacks will still be available on the 3rd floor.",0
"URGENT: Payroll direct deposit rejected due to routing discrepancy. Sign in immediately to avoid delayed salary disbursement: http://hr-payroll-portal.top",1
"Good morning, please review the revised project roadmap for the mobile application release. Milestone 3 deliverables are on track for next month.",0
"IT Security Helpdesk: A suspicious login was detected from Russia on your corporate workstation. Validate your multi-factor authenticator token now.",1
"Please find attached the customer feedback survey responses from the recent product rollout. Overall satisfaction rating is up by 14 percent.",0
"Confidential Directive: Board of Directors mandate requires immediate transfer of INR 4.2 crores for offshore acquisition. Do not contact colleagues.",1
"The quarterly performance review cycle is now open in Workday. All self-evaluations must be completed and submitted by end of month.",0
"Security Warning: Undelivered messages pending on mail server. Click here to release quarantined messages before automatic deletion at midnight.",1
"Hello, attached is the updated employee benefits guide including health insurance policy details and dental network providers for 2026.",0
